S.No,Hospital Name,District/Zone,Total Beds,ICU Beds with Ventilator,ICU Beds without Ventilator,Oxygen Supported Beds,Non-Oxygen Beds,Free ICU Beds with Ventilator,Free ICU Beds without Ventilator,Free Oxygen Beds,Free Non-Oxygen Beds,Phone Number,Latitude,Longitude
1,"Apollo Hospitals, Greams Road",Chennai Central,600,40,50,200,310,8,8,29,50,044-28293333,13.0607,80.2512
2,MIOT International Hospital,Chennai West,1000,60,90,350,500,17,15,69,136,044-22490900,13.0155,80.1788
3,Gleneagles Global Health City,Chennai South,1000,55,85,320,540,13,28,71,111,044-44777000,12.926,80.2005
4,Sri Ramachandra Medical Centre,Chennai West,800,80,120,280,320,20,19,91,62,044-24768027,13.0366,80.1574
5,Vijaya Hospital,Chennai Central,750,45,60,250,395,9,16,35,105,044-24809100,13.0505,80.212
6,Rajiv Gandhi Govt General Hospital,Chennai Central,2652,120,180,900,1452,37,33,303,337,044-25305100,13.0838,80.271
7,Govt Stanley Medical College Hospital,Chennai North,1500,70,110,500,820,21,24,100,137,044-25282091,13.0949,80.2882
8,Dr. Rela Institute & Medical Centre,Chennai South,450,50,80,160,160,5,12,56,37,044-22002288,12.9516,80.1373
9,"Fortis Malar Hospital, Adyar",Chennai South,180,20,25,70,65,4,8,18,22,044-42892222,13.0067,80.2565
10,"SIMS Hospital, Vadapalani",Chennai Central,345,40,60,120,125,8,9,40,18,044-28151500,13.05,80.2108
11,"Kauvery Hospital, Alwarpet",Chennai Central,200,22,30,80,68,7,7,28,23,044-40009000,13.0334,80.2665
12,"MGM Healthcare, Nelson Manickam Road",Chennai Central,450,45,55,160,190,12,6,17,42,044-45454545,13.0696,80.2279
13,"KMC Hospital, T.Nagar",Chennai Central,300,25,35,100,140,8,4,21,17,044-28340040,13.0412,80.234
14,"Apollo Speciality Hospital, OMR",Chennai South,250,25,35,90,100,4,4,16,23,044-42004000,12.901,80.2271
15,Madras Medical College Hospital,Chennai Central,2950,130,220,950,1650,20,65,108,252,044-25305100,13.0819,80.2714
16,Govt Kilpauk Medical College Hospital,Chennai North,1302,60,90,450,702,10,18,131,132,044-26421001,13.0874,80.2472
17,"Billroth Hospital, Shenoy Nagar",Chennai North,300,25,35,100,140,7,12,13,44,044-26426891,13.0845,80.2357
18,"Chettinad Health City, Kelambakkam",Chennai South,500,40,60,170,230,10,17,43,46,044-47415000,12.7958,80.2218
19,"SRM Hospital, Kattankulathur",Chennai South,700,50,70,240,340,6,10,34,49,044-27452000,12.8231,80.0448
20,Govt Omandurar Medical College Hospital,Chennai Central,1000,50,70,350,530,7,11,84,155,044-25340033,13.062,80.2669
21,"Meenakshi Mission Hospital, T.Nagar",Chennai Central,200,18,27,75,80,5,8,10,24,044-42007000,13.0354,80.2349
22,"Apollo Cancer Centre, Guindy",Chennai South,200,20,30,70,80,3,4,12,20,044-23001066,13.0152,80.2206
23,"Mehta Multispeciality Hospital, Chetpet",Chennai Central,180,18,22,65,75,2,3,13,23,044-26564455,13.0757,80.2455
24,"Dr. Kamakshi Memorial Hospital, Pallikaranai",Chennai South,350,35,45,125,145,7,9,24,18,044-22792288,12.9387,80.2029
25,"Prashanth Super Speciality, Velachery",Chennai South,200,20,25,70,85,6,8,20,17,044-42988000,12.9785,80.2207
26,"Frontier Lifeline Hospital, Mogappair",Chennai North,225,22,28,80,95,5,5,21,25,044-26565564,13.0922,80.1743
27,G. Kuppuswami Naidu Memorial Hospital,Chennai West,120,12,18,42,48,2,6,12,7,044-23741000,13.0728,80.225
28,"Sankara Nethralaya, Nungambakkam",Chennai Central,110,6,9,30,65,2,2,5,11,044-28271616,13.0591,80.2435
29,"Cloudnine Hospital, Anna Nagar",Chennai North,100,10,12,35,43,3,1,7,15,044-42100000,13.0867,80.2125
30,"Lifeline Hospitals, Adyar",Chennai South,100,10,15,35,40,2,3,11,13,044-24402288,13.0049,80.2561
31,"Apollo Proton Cancer Centre, Tharamani",Chennai South,200,20,25,70,85,6,6,23,14,044-23001077,13.0113,80.2453
32,"Chennai Meenakshi Multispeciality, Madipakkam",Chennai South,150,15,20,55,60,5,4,15,15,044-22591000,12.9639,80.1994
33,"Sooriya Hospital, Arumbakkam",Chennai Central,120,12,15,42,51,2,4,11,18,044-26204444,13.0742,80.2095
34,"Balaji Hospital, Tambaram",Chennai South,200,18,22,70,90,5,5,14,29,044-22262626,12.9249,80.1
35,"Sundaram Medical Foundation, Anna Nagar",Chennai North,110,10,15,38,47,2,4,10,16,044-26204000,13.0858,80.2115
36,"SRMC & RI, Kattankulathur",Chennai South,550,40,60,190,260,6,16,27,68,044-27417000,12.8231,80.0448
37,"Saveetha Medical College, Thandalam",Chennai West,750,50,75,260,365,13,21,82,58,044-26801999,13.0251,79.9978
38,"Tagore Medical College, Vandalur",Chennai South,450,35,55,155,205,11,10,31,26,044-22751234,12.8779,80.0738
39,"ACS Medical College, Velappanchavadi",Chennai North,350,30,40,120,160,7,4,21,43,044-26554321,13.1101,80.1819
40,"ESIC Hospital, KK Nagar",Chennai Central,500,35,45,170,250,10,6,50,53,044-23660031,13.0379,80.1966
41,Govt Royapettah Hospital,Chennai Central,800,40,60,270,430,6,17,77,93,044-28131575,13.0521,80.2694
42,Govt Kasturba Gandhi Hospital for Women,Chennai Central,550,30,50,185,285,7,13,48,83,044-25387281,13.0602,80.2766
43,Govt Egmore Children's Hospital,Chennai Central,600,35,55,200,310,10,8,21,39,044-28192131,13.0707,80.2655
44,"Gokulam Hospital, Velachery",Chennai South,100,10,12,35,43,2,3,12,9,044-22430000,12.9785,80.219
45,"Anand Hospital, Purasawalkam",Chennai North,80,7,11,28,34,1,3,9,8,044-26414000,13.0813,80.2548
46,Kanchi Kamakoti Child Trust Hospital,Chennai Central,150,18,22,52,58,3,6,18,17,044-28272103,13.0593,80.2416
47,"Voluntary Health Services, Taramani",Chennai South,350,25,35,120,170,5,5,26,22,044-22542077,13.0091,80.2451
48,"Suriya Hospital, Neelankarai",Chennai South,100,9,13,35,43,1,3,11,12,044-24492000,12.9312,80.2502
49,"Sudha Hospital, Chromepet",Chennai South,80,7,10,28,35,1,3,4,6,044-22340000,12.9498,80.1402
50,"Rosita Hospital, Perambur",Chennai North,90,8,12,31,39,1,3,10,8,044-25537777,13.1093,80.2498
51,"Govt Hospital, Chromepet",Chennai South,250,15,25,85,125,5,8,19,40,044-22340700,12.9516,80.1373
52,"Madha Medical College, Kundrathur",Chennai West,600,35,55,205,305,11,12,29,36,044-24787000,13.0001,80.1
53,"Karpagam Hospital, Anna Nagar",Chennai North,100,9,13,35,43,1,3,4,8,044-26211500,13.0854,80.2115
54,"Sumadhura Hospital, Valasaravakkam",Chennai West,100,9,13,35,43,2,2,10,10,044-23762233,13.0377,80.1794
55,"Sakthi Hospital, Thiruvanmiyur",Chennai South,80,7,10,28,35,2,3,7,7,044-24424343,12.9839,80.2527
56,"Preethi Hospital, Mogappair",Chennai North,120,11,15,42,52,2,4,5,6,044-42111000,13.0903,80.1743
57,"KKR ENT Hospital, Chetpet",Chennai Central,100,6,9,30,55,1,1,9,8,044-26422555,13.0769,80.2447
58,"GV (Devaki) Hospital, Kilpauk",Chennai North,100,9,13,35,43,2,4,7,13,044-26412030,13.0831,80.2462
59,"Ramdev Hospital, Anna Nagar",Chennai North,90,8,11,31,40,1,2,5,8,044-26218888,13.0866,80.2127
60,"Sundaram Cardiac Hospital, Anna Nagar",Chennai North,80,12,13,25,30,3,2,6,8,044-26213333,13.0858,80.2115
61,Tamilnadu Govt Multi Super Speciality Hospital,Chennai Central,1100,55,85,380,580,14,26,46,156,044-25340099,13.062,80.2669
62,"Deepam Hospital, Tambaram",Chennai South,80,7,10,28,35,2,3,4,4,044-22262000,12.9249,80.1267
63,"Harihara Multispeciality Hospital, Pattabiram",Chennai North,100,9,13,35,43,3,3,5,14,044-26301000,13.1301,80.1005
64,"AMRI Hospitals, Nungambakkam",Chennai Central,150,15,20,52,63,4,5,15,16,044-28222555,13.0567,80.2427
65,"Aakash Healthcare, Porur",Chennai West,90,8,11,31,40,1,1,6,10,044-24770000,13.0366,80.1574
66,"Sree Balaji Medical College, Chromepet",Chennai South,700,40,60,240,360,6,9,31,81,044-22988444,12.9516,80.1373
67,"Moon Cancer Centre, Kilpauk",Chennai North,80,9,11,25,35,3,3,3,7,044-26441234,13.0849,80.2439
68,"National Hospital, Chetpet",Chennai Central,90,8,12,31,39,2,1,9,6,044-26426000,13.0757,80.245
69,"Sugam Hospital, Avadi",Chennai North,80,7,10,28,35,1,3,9,4,044-26551234,13.1146,80.1012
70,"Andal ENT Hospital, T.Nagar",Chennai Central,50,4,6,15,25,1,2,5,7,044-28154000,13.0412,80.2337
71,"Prashanth Fertility Hospital, Anna Nagar",Chennai North,60,5,8,20,27,1,1,2,5,044-42910000,13.0878,80.2125
72,"Rani Hospital, Tambaram",Chennai South,90,8,11,31,40,1,2,10,13,044-22265555,12.9249,80.11
73,"Karpaga Vinayaga Medical College, Maduranthakam",Chengalpattu,600,35,55,205,305,11,10,27,63,044-27523456,12.4944,79.9038
74,"Parvathy Hospital, Adyar",Chennai South,80,7,10,28,35,1,2,7,6,044-24423333,13.0067,80.2565
75,"Rajam Hospital, Thiruvanmiyur",Chennai South,70,6,9,24,31,1,2,7,3,044-24412222,12.9839,80.2527
76,"Shree Hospital, Perambur",Chennai North,80,7,10,28,35,2,3,7,10,044-25529999,13.1093,80.2498
77,"Shanmuga Hospital, Pallikaranai",Chennai South,100,9,13,35,43,1,4,6,9,044-22794000,12.9387,80.2029
78,"Dr. Mehta's Hospital, Chetpet",Chennai Central,180,18,22,65,75,4,7,10,17,044-26564200,13.0757,80.2455
79,"Chandra Bhanu Hospital, Kolathur",Chennai North,80,7,10,28,35,2,2,7,5,044-25560000,13.118,80.2198
80,"JRH Hospital, Virugambakkam",Chennai West,90,8,11,31,40,2,2,7,4,044-23763333,13.0555,80.1943
81,"AV Hospital, Ambattur",Chennai North,80,7,10,28,35,1,3,4,6,044-26588000,13.1141,80.1481
82,"Govt Hospital, Avadi",Chennai North,200,12,20,68,100,4,3,17,21,044-26552000,13.1146,80.1012
83,"Govt Hospital, Sholinganallur",Chennai South,150,10,15,52,73,1,4,12,24,044-24501000,12.901,80.2271
84,"Govt Hospital, Thiruvottiyur",Chennai North,150,10,15,52,73,3,2,13,14,044-25751000,13.1597,80.3042
85,"Govt Hospital, Ambattur",Chennai North,150,10,15,52,73,1,5,6,16,044-26582000,13.1141,80.1481
86,"Govt Hospital, Madhavaram",Chennai North,120,8,12,42,58,1,3,6,18,044-25591000,13.1477,80.2297
87,"Kumaran Hospital, Nungambakkam",Chennai Central,200,18,25,70,87,4,4,21,12,044-28220000,13.0581,80.2427
88,"Devadoss Hospital, Adyar",Chennai South,90,8,11,31,40,2,2,10,7,044-24415000,13.0067,80.2565
89,"Jain Hospital, Tambaram",Chennai South,80,7,10,28,35,2,3,6,11,044-22261000,12.9249,80.1267
90,"Grace Kennett Hospital, Vepery",Chennai Central,100,9,13,35,43,2,2,8,12,044-25325000,13.0929,80.268
91,"Govt Hospital, Mylapore",Chennai Central,120,8,12,42,58,2,3,5,9,044-24616000,13.0334,80.27
92,"Govt Hospital, Perambur",Chennai North,150,10,15,52,73,3,3,8,22,044-25530000,13.1093,80.2498
93,"Apollo First Med Hospital, Kilpauk",Chennai North,190,18,22,65,85,2,2,8,13,044-42006000,13.0831,80.246
94,"Velammal Medical College, Annanur",Chennai North,700,50,70,240,340,6,12,40,112,044-66115555,13.1303,80.1451
95,"Sri Balaji Dental College, Narayanapuram",Chengalpattu,300,15,25,100,160,2,6,17,45,044-27543000,12.85,80.02
96,"Govt Hospital, Manali",Chennai North,100,7,11,35,47,1,2,5,8,044-25941000,13.1648,80.2558
97,"East Coast Hospitals, Royapuram",Chennai North,80,7,10,28,35,1,2,9,4,044-25911000,13.1097,80.2951
98,"Panimalar Medical College, Varadarajapuram",Chennai West,700,45,65,240,350,7,16,74,68,044-26810000,13.083,80.13
99,"Govt Hospital, Pallavaram",Chennai South,150,10,15,52,73,3,3,8,22,044-22641000,12.9676,80.1491
100,"Govindappa Naicker Memorial Hospital, Royapuram",Chennai North,100,8,12,35,45,1,3,8,11,044-25920000,13.1132,80.2987
